name          redshift     t0       t0_err         x0         x0_err         x1          x1_err          c          c_err   mwebv      cov_x0x1       cov_x0c       cov_x1c  chiquad/dof modelo
6924.0     0.328     53674.2   0.912878    4.10417e-05  2.27137e-06    0.229741       0.909941     -0.104541      0.0742291    0.0317   -9.83214e-07  -1.23813e-07     0.00502648    0.753032   salt2_ori
17168.0    0.184     54356.5   0.441976    9.15034e-05  6.6215e-06     0.384249       0.432564      0.0813779     0.0636426    0.048    -1.04853e-06  -3.89685e-07     0.00358049    0.670875   salt2_ori
04D3hn     0.552     53137.2   0.192512    7.20138e-06  8.02759e-08   -0.629866       0.133201      0.0849769     0.019993     0.0119   -6.70075e-09  -2.09887e-10     0.000171993   2.44892    salt2_ori
06D4dh     0.303     53957     0.0536346   4.83968e-05  3.45259e-07    0.570503       0.0511083    -0.192419      0.00602407   0.0262   -1.22116e-08  -1.67343e-09     9.80907e-05   4.99194    salt2_ori
18415.0    0.13097   54381.4   0.239039    0.00020137   3.7614e-06    -1.58759        0.171604     -0.0767971     0.015969     0.0744   -2.30664e-07  -3.86341e-08     0.000668912   0.906605   salt2_ori
05D1dx     0.58      53666.2   0.256284    8.58317e-06  2.02587e-07    0.568539       0.17684       0.00100883    0.0463272    0.0271   -6.87074e-09  -8.34902e-09    -0.000863423   0.972506   salt2_ori
05D4cn     0.763     53583.6   1.32039     4.10229e-06  7.96867e-08    1.17838        0.542415      0.158066      0.0864205    0.0259   -5.0371e-09   -1.12613e-09    -0.00101022    2.25433    salt2_ori
sn1992bg   0.0352    48916.1   0.428299    0.0035865    0.000102554   -0.449883       0.106773     -0.0471183     0.0190514    0.185     4.84206e-07  -1.48217e-06    -0.000309438   0.915538   salt2_ori
17784.0    0.03707   54367.1   0.0261537   0.00231817   2.19123e-05   -0.805832       0.0440453    -0.0307639     0.00652688   0.1061   -7.47076e-07  -1.24912e-07     0.000151999   5.05028    salt2_ori
15234.0    0.1363    54032.6   0.262226    0.000116059  1.73561e-06    1.04465        0.248347      0.137201      0.0150235    0.0277   -2.57428e-07  -1.72849e-08     0.00129498    1.55957    salt2_ori
06D3gh     0.72      53923.6   0.640639    4.85959e-06  2.72537e-07    0.778142       0.716612     -0.0512934     0.192887     0.0086   -1.44585e-07  -2.7779e-08      0.0131638     1.05992    salt2_ori
06D3df     0.442     53851     0.336071    1.54294e-05  1.0727e-07     1.04267        0.149611     -0.0141912     0.00886956   0.0097    2.60144e-09  -5.94001e-10    -0.000313909   0.96266    salt2_ori
05D4hn     0.842     53694.4   1.12292     3.73287e-06  1.51698e-07    1.85492        1.10924       0.295986      0.111466     0.0287   -1.39218e-07  -1.79901e-10     0.0269349     1.939      salt2_ori
12927.0    0.175     53988.9   0.778085    0.000132061  4.97663e-06   -0.016085       0.308586      0.00269292    0.0236482    0.0369    2.31745e-07  -9.21733e-08    -0.000385198   0.906831   salt2_ori
sn2006bt   0.032156  53858.3   0.102075    0.00303162   1.41078e-05    0.279479       0.0644329     0.0872558     0.00476917   0.05     -1.88541e-07  -5.12569e-08    -1.59108e-05   6.46529    salt2_ori
04D2gb     0.45      53108.2   0.258147    1.24357e-05  1.69151e-07   -1.48224        0.206127      0.0194959     0.0219266    0.0201   -9.39853e-09  -2.11177e-09    -0.000636922   1.03203    salt2_ori
sn1998dx   0.054224  51072.3   0.343905    0.00166166   3.21272e-05   -1.47902        0.224662     -0.102412      0.0127976    0.041     1.74835e-06  -3.04996e-07     0.000321437   1.94681    salt2_ori
13610.0    0.29826   53997.3   0.687749    4.92334e-05  2.87829e-06   -0.273798       0.691186     -0.0616319     0.069266     0.0662   -7.75878e-07  -1.54743e-07    -0.000696526   0.67769    salt2_ori
18721.0    0.393     54372     0.91478     2.37445e-05  3.18724e-06   -0.352234       1.08703       0.107605      0.139187     0.0301   -2.66303e-06  -3.08819e-07     0.0481156     0.576      salt2_ori
Eagle      1.02      53295.1   0.74919     1.88071e-06  3.67659e-08    0.382955       0.295478     -0.145947      0.0654762    0.01206  -2.08662e-09  -1.45958e-09     0.00188921    1.50801    salt2_ori
03D3cd     0.4607    52801.8   0.116593    1.66722e-05  3.43268e-07    1.78484        0.270296     -0.0208726     0.0162893    0.0092   -8.91949e-08  -4.43102e-09     0.00311248    0.785884   salt2_ori
5550.0     0.1561    53671.5   0.16098     0.000206509  1.67002e-06    1.87045        0.165527     -0.0623767     0.00796717   0.0282   -1.89808e-07  -7.56459e-09     0.000465363   1.08698    salt2_ori
sn2004s    0.00937   53040.4   0.233232    0.0399061    0.000619492   -0.16138        0.065941      0.00705654    0.00833185   0.101     3.57055e-06  -4.006e-06      -1.87727e-05   2.30779    salt2_ori
14421.0    0.1749    54010.8   0.206119    0.000120397  1.63149e-06   -0.516728       0.185496     -0.123783      0.0170103    0.0283   -1.69531e-07  -5.29218e-09     0.000362971   1.73412    salt2_ori
14984.0    0.184     54025.4   0.683909    7.90854e-05  5.27838e-06    0.649037       0.529549      0.0825777     0.0598935    0.0926   -9.34746e-07  -2.96439e-07     0.0059574     1.22399    salt2_ori
sn2007cq   0.025918  54281     0.0525192   0.00848164   5.41066e-05   -0.412602       0.0916019    -0.0477355     0.0053536    0.109    -3.15544e-06  -2.38976e-07     0.000188397   7.58903    salt2_ori
05D3ha     0.805     53485.3   0.477536    3.17726e-06  1.60374e-07   -0.112692       0.483339      0.0568277     0.11795      0.0091   -6.54567e-08  -3.69166e-09     0.00711508    0.726176   salt2_ori
03D3aw     0.449     52767.2   0.173802    1.53655e-05  3.0543e-07     0.977745       0.195257     -0.10568       0.020654     0.0088   -4.73426e-08  -1.62085e-09     7.32132e-05   4.21717    salt2_ori
04D1si     0.702     53359.8   0.471975    4.97812e-06  1.51051e-07    0.156148       0.409482      0.0908746     0.0936728    0.0241   -3.49239e-08  -8.34203e-09    -0.00037971    0.453235   salt2_ori
sn1997e    0.013539  50468     0.0533904   0.0160845    8.3131e-05    -1.71883        0.0448937     0.0219879     0.00470207   0.124    -1.86139e-06  -3.4321e-07      6.98241e-05   4.63596    salt2_ori
05D4gw     0.808     53674.4   3.54229     2.8475e-06   1.13409e-07    2.09862        1.56023      -0.0811011     0.195444     0.0238   -6.33749e-08   4.93499e-09    -0.00331818    0.849492   salt2_ori
05D3ax     0.643     53400.1   0.494775    6.58575e-06  4.08061e-07    0.158397       0.561348     -0.0359927     0.169674     0.009    -1.02526e-07  -5.19068e-08    -0.0172113     2.44306    salt2_ori
05D3kp     0.85      53530.1   0.675604    4.01949e-06  8.62143e-08    1.38           0.394647     -0.127064      0.0765609    0.0106   -1.92078e-08   2.7496e-09     -0.000969601   0.789985   salt2_ori
05D3gp     0.58      53454.2   0.65487     7.54152e-06  6.89255e-07   -0.475982       0.69177      -0.206456      0.14575      0.0088   -2.03129e-07  -8.21178e-08    -0.00344176    1.44628    salt2_ori
13072.0    0.23063   53992.7   1.88161     5.9828e-05   4.69579e-06   -0.683275       0.720439      0.00637228    0.0703828    0.0769    6.58388e-07  -2.78483e-07    -0.00291709    0.62666    salt2_ori
04D1ow     0.915     53312.2   0.479137    3.26289e-06  1.24625e-07    0.420686       0.365519     -0.189543      0.0914866    0.0265   -2.88218e-08   7.57658e-09    -0.00182469    0.906555   salt2_ori
05D1iz     0.86      53695.4   1.86295     3.07072e-06  1.89306e-07    1.13021        0.853234     -0.141366      0.189592     0.0261   -6.12884e-08   1.78357e-09     0.0435951     0.451398   salt2_ori
05D3la     0.936     53538.2   9.52061     3.15056e-06  2.50251e-05   -1.32643        3.92015      -0.0411298    42.3359       0.0108    9.44367e-05  -0.0010594    -160.134         0.401396   salt2_ori
15674.0    0.198     54039.5   0.399736    6.86416e-05  6.16787e-06   -1.18321        0.656476      0.044023      0.0759084    0.067    -2.22421e-06  -4.34477e-07     0.0168732     0.502349   salt2_ori
9457.0     0.2569    53689.6   1.13245     4.52579e-05  6.34396e-06    1.39729        1.33897      -0.0494901     0.127126     0.0816   -5.71677e-06  -6.85449e-07     0.0579274     0.4174     salt2_ori
05D1cc     0.564     53607.8   0.232605    7.20746e-06  1.11968e-07   -0.0819211      0.149453     -0.0439619     0.0189004    0.0284   -1.22459e-08  -1.14399e-09     0.00116249    1.72866    salt2_ori
06D3et     0.576     53894.2   0.232826    7.29351e-06  2.70336e-07   -1.40963        0.236878     -0.0269441     0.0617226    0.0114   -2.77741e-08  -1.50615e-08     0.00267216    1.83929    salt2_ori
7147.0     0.1106    53679.6   0.111256    0.000282149  2.8775e-06    -1.69879        0.136599     -0.0625481     0.0105045    0.0432   -1.36348e-07  -1.92476e-08     0.000560031   2.14132    salt2_ori
17218.0    0.179     54349.5   0.515966    0.000119911  2.6586e-06    -0.78544        0.393815     -0.0728848     0.0223864    0.0337   -4.59694e-07  -2.2563e-08      0.00103914    1.0895     salt2_ori
17223.0    0.235     54347.4   1.57477     8.37332e-05  5.47308e-06    0.542182       0.681229     -0.091349      0.0676802    0.0296    5.705e-07    -3.28903e-07    -0.0102177     1.10113    salt2_ori
6780.0     0.202     53665.4   0.594458    7.49677e-05  5.88872e-06   -1.61632        0.58828      -0.0463875     0.0734423    0.1045   -1.00485e-06  -3.7892e-07     -9.66268e-05   0.449408   salt2_ori
05D1kl     0.56      53743     0.478315    3.91285e-06  1.41272e-07    0.628643       0.410222      0.143356      0.0387408    0.0251   -4.38647e-08  -2.2516e-09      0.00327153    1.48682    salt2_ori
15222.0    0.19943   54031.1   0.355919    7.02214e-05  5.19182e-06   -1.59481        0.409174      0.0844224     0.0653558    0.0273   -8.03726e-07  -3.1689e-07      0.0057809     0.604299   salt2_ori
5736.0     0.253     53665.3   0.418433    5.00866e-05  2.44766e-06   -0.566076       0.437822     -0.00819821    0.0481131    0.0378   -4.6669e-07   -1.00902e-07     0.00297691    0.848637   salt2_ori
19990.0    0.246     54402.8   0.581166    5.13294e-05  4.4079e-06    -1.65304        0.845321     -0.0786218     0.0798546    0.035    -2.31286e-06  -2.96729e-07     0.0194116     0.777244   salt2_ori
14279.0    0.04539   54023     0.142218    0.00163513   1.24074e-05   -0.329437       0.0529192     0.111201      0.0060743    0.03      2.81111e-07  -4.52479e-08    -0.000151436   3.66891    salt2_ori
20106.0    0.333     54403.5   1.1246      2.87253e-05  3.93731e-06   -1.76875        1.55104      -0.140141      0.150542     0.0432   -4.09191e-06  -4.55569e-07     0.0713983     0.949156   salt2_ori
15440.0    0.253     54031.4   0.623227    4.56708e-05  3.35855e-06   -0.850564       0.658315     -0.0289673     0.0772737    0.0285   -8.85822e-07  -2.2957e-07      0.00928933    1.20062    salt2_ori
sn2001az   0.040695  52032     0.476639    0.00298582   5.34367e-05    0.851151       0.270207     -0.0777063     0.0105293    0.051     3.42302e-06  -3.61733e-07     0.000744573   1.36664    salt2_ori
19757.0    0.403     54400.1   0.941007    2.90288e-05  2.41797e-06    0.252814       1.03786      -0.144407      0.121903     0.0479   -1.89631e-06  -1.72536e-07     0.0369213     0.915344   salt2_ori
03D1bp     0.347     52920.3   0.0698874   1.94696e-05  2.10318e-07   -1.07461        0.095668     -0.00779368    0.010953     0.0236   -1.18448e-08  -1.66368e-09     6.38283e-05   4.20682    salt2_ori
05D4av     0.509     53554.2   0.567034    6.60465e-06  9.03722e-08    0.551614       0.30743       0.20462       0.019742     0.0284   -3.44085e-09  -1.04854e-09    -0.0013972     1.50103    salt2_ori
4241.0     0.332     53638.9   0.913807    3.11142e-05  2.42155e-06    0.361575       0.73151      -0.140656      0.105244     0.0317   -7.28371e-07  -1.85528e-07    -0.00180848    0.744264   salt2_ori
04D1hd     0.369     53268.3   0.0583557   2.43784e-05  1.31855e-07    0.883315       0.0565944    -0.0821271     0.00592422   0.0279   -3.87638e-09  -5.67655e-10     1.25883e-05   2.13907    salt2_ori
